comment
"I don't recommend internship or work with this startup, everything is messed up and no communication at all. waste of time 👎 "
Congratulations!
Congrats! 👏🏻
Congratulations! 👏 
"I don't recommend internship or work with this startup, everything is messed up and no communication at all. waste of time 👎 "
Congratulations!
Congrats! 👏🏻
Congratulations! 👏 
Commenting for reach
ketata safwen
Zayoud Ahmad
"Très intéressant !
See translation
See translation of this comment"
Intrested with experience 
Amazing✨
Inspiring 👏🏼
"Excited to embark on this transformative journey ,Thank you so much for your support I believe this experience will provide me with valuable skills and knowledge that will shape my career 🚀"
"The worst experience you can get. I don't recommend work or internship with this startup, everything is messed up and No communication at all, No employment certificate, No payment. Total waste of time 👎 "
